image,generated_caption,reference_captions
142802798_962a4ec5ce.jpg,a boy in a blue shirt is riding a bike on a skateboard .,A boy in a green shirt on a skateboard on a stone wall with graffiti | a man in a green t-shirt is skateboarding along a graffiti covered wall in front of a blue door . | A skateboarder doing a trick on a stone wall . | A skater rides his board on a ramp . | The boys rides his skateboard up the wall .
1433088025_bce2cb69f8.jpg,a group of people are walking down a street .,"A crowd is watching 2 shirtless men , one in yellow pants and one in black shorts perfom . | A man in yellow pants and wearing no shirt is being watched by many people . | A muscular man in yellow pants . | The man in the yellow pants is raising his arms . | There is a man with yellow pants and a man with black pants ."
143684568_3c59299bae.jpg,a man in a blue jacket is standing on a rock next to a large rock .,A man standing on a cliff | A person is standing at the top of a rocky cliff overlooking land . | A person standing on a ciff looking down at plains and trees . | A person stands on the top of a cliff as another attempts to climb it . | Man stands on distant cliff overlooking a green valley .
1439046601_cf110a75a7.jpg,a boy in a blue shirt is riding a tricycle .,A boy is smiling whilst standing in front of a swimming pool . | A boy smiles standing in front of a swimming pool . | a boy standing by a swimming pool | a kid smiling at the swimming pool | Smiling boy standing near the pool .
1466307485_5e6743332e.jpg,a group of people are walking through a park .,A group of people pull a jeep stuck on a rock . | A man in an orange vest leans over a pickup truck . | A man in an orange vest trying to pull a vehicle which is attached to another vehicle out of a rocky area . | A person in a safety vest pushing a truck . | The white truck is stuck on the large rocks .
1474474514_b3eb492722.jpg,a boy in a blue shirt is riding a bike on a dirt path .,A child smiling in a park | A little boy wearing a blue shirt is playing around large tires . | A small child in a blue shirt is standing in front of a group of tires . | A young boy wearing Mickey Mouse clothes in a jungle gym . | The little boy is playing by tires .
1476241331_2f43b67aed.jpg,a little girl is sitting on a tree stump .,A boy and a toddler boy stand by a water fountain . | The two boys in bright blue jeans stand at the water fountain . | Two boys sand next to a drinking fountain in a park . | Two children stand near a water fountain . | Two little boys at a water fountain .
1478294229_7e1c822fea.jpg,a man in a blue shirt is standing on a rock with a <UNK> <UNK> .,A closeup of a bicycle rider 's leg . | A man in shorts on a black bicycle . | A man wearing white socks is pedaling a bicycle . | A man wears white socks with beat up brown shoes on a black bicycle . | Closeup of man 's legs on a bicycle peddal .
1480712062_32a61ad4b7.jpg,a man in a blue shirt is standing on a rock next to a woman in a blue shirt .,A person in a scuba suit holds a very small lobster . | A scuba diver holds up a small lobster underwater . | A scuba diver underwater holding a small lobster | Scuba diver under the water holding small crustacean in his hands . | The scuba diver shows off something he found underwater .
1490213660_9ea45550cf.jpg,two dogs are running through a field .,A dog is trotting through a shallow stream | A light colored dog is walking through a stream . | A male weimaraner with a clipped tail is walking through a river . | a tan dog walking along in a stream | The brown dog is walking through a river surrounded by bushes .
1499495021_d295ce577c.jpg,a man and a woman are walking down a snowy hill .,"A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf . | A man and woman fishing at the beach . | A man and a woman are standing on a shore while the man fishes in the choppy water . | A man is fishing in the ocean with a large woman walking to the left . | Man and woman fishing in the ocean ."
1499581619_a5f65a882c.jpg,a man in a blue shirt is standing on a rock next to a woman in a blue shirt .,A couple dressed in hoodies kissing on the beach . | A man and a woman share a kiss on the beach . | A man with a brown hooded jacket is kissing a girl with sunglasses . | There is a couple kissing on the beach . | Two people kiss on the beach .
1526181215_c1a94325ae.jpg,a dog runs through the water .,A dog is jumping into the water . | a dog jumps into the water . | A little dog with a red head is jumping into the water . | A small dog leaps in the water . | Small dog jumping into water .
1541272333_1624b22546.jpg,a white dog is running through the snow .,A brown dog brings up some dust as he runs around a field . | A dog and a dust storm . | A dog and sand blowing in the wind | A dog in a sandy area with the sand stirred up into the air and several plants in the background . | Dog kicking up dirt
1573017288_4d481856e2.jpg,a young girl is wearing a blue shirt and blue jeans is sitting on a bench .,A girl with arms raised in sliding down a red and white slide . | A girl with extended arms goes down a slide . | A girl with her arms raised riding down an inflatable slide . | A young girl with a heart tank top raises her hands as she slides . | Blond child throws up her arms as she travels down slide .
160541986_d5be2ab4c1.jpg,a woman in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,A girl is all decked out with razzling jewelry . | A girl is dressed up and wearing a large broach with pearls . | A woman wearing antiquated clothing including many pearls . | A woman wearing a pearl necklace . | A woman with a black sweater and white necklace poses for the camera .
1662261486_db967930de.jpg,a black and white dog is jumping over a hurdle .,A black and white dog is jumping through a black and white hoop . | A black and white dog jumps through a black and white hoop . | A brown and white dog jumping through a black and white hoop . | A dog jumping through a black and white hoop . | A dog jumping through a ring .
166433861_70b66cd381.jpg,a motorcyclist is riding a bike on a dirt track .,A motorcycle racer leans his bike . | A motorcyclist is driving down a road on their motorbike . | A motorcyclist is riding their sponsored car along a roadway that has recently turned . | A motorcyclist on the street . | A motorcyclist with a red helmet rides his blue motorcycle down the road .
1721637099_93e9ec2a2f.jpg,a man in a blue shirt and a black hat is sitting on a bench .,A boy laying on clothes . | A brown-haired boy is laughing with his eyese clothes whiel lying on a pile of clothes . | A child in a blue shirt laying on his side with his mouth open . | A child with and adult hand . | A little boy laughs as he is tickled .
